# SPHEREx Light Curve Data
# Source: 1662622870104953472
# RA: 205.250219
# Dec: 60.436094
# Generated: 2026-05-12T13:24:04.950755
# Number of observations: 266
#
# Column descriptions:
# - obs_id: Observation identifier
# - mjd: Modified Julian Date
# - flux: Flux density in microJansky (μJy)
# - flux_error: Flux density uncertainty in microJansky (μJy)
# - mag_ab: AB magnitude
# - mag_ab_error: AB magnitude uncertainty
# - wavelength: Central wavelength in microns
# - bandwidth: Bandwidth in microns
# - band: SPHEREx detector band (D1-D6)
# - flag: Combined flag bitmap (integer)
# - flag_binary: Flag bitmap in binary format
# - pix_x, pix_y: Pixel coordinates
# - is_upper_limit: True if flux_error > flux
# - snr: Signal-to-noise ratio
#
obs_id,mjd,flux,flux_error,mag_ab,mag_ab_error,wavelength,bandwidth,band,flag,flag_binary,pix_x,pix_y,is_upper_limit,snr,correction_factor,flux_calib,flux_error_calib
2025W19_2B_0163_2,60804.560478643,560.8047719500139,33.53596036661439,17.027970748914377,0.0649267056069422,2.0338580793276053,0.0501836721209561,D3,2097152,1000000000000000000000,9.460486014289389,9.48177808716311,False,16.722490300540326,1.3801117097432278,773.9732326480946,46.28337159944931
2025W19_2B_0163_3,60804.5619709,502.8067509737463,31.12103349081829,17.146497249646167,0.0672012313379538,2.0807760565840367,0.0517493010605046,D3,2097152,1000000000000000000000,9.287604171190663,9.770406310215735,False,16.156492718086962,1.3781725743583668,692.9544743942542,42.890154842734
2025W19_2B_0163_3,60804.5619709,306.581958707452,113.58722260843268,17.68363351366117,0.4022603303333219,4.763596063973599,0.0370918924029796,D6,2097152,1000000000000000000000,9.6135291062219,9.155314347605945,False,2.6990884332503384,1.1917019561663964,365.3543199169959,135.36211537797715
2025W19_2B_0163_4,60804.563463157,558.1484447385706,31.128560635696136,17.033125702669317,0.0605527178347944,2.1292616194831746,0.0529307798684726,D3,2097152,1000000000000000000000,9.71574245703276,9.028178934738213,False,17.9304289482156,1.3729844212474756,766.3291193695649,42.73902880866821
2025W19_2B_0474_1,60806.5275174625,312.532348115012,23.783054715839068,17.66276256275348,0.0826222428509304,3.142377710642992,0.0924070108554319,D4,2097152,1000000000000000000000,9.35094122899521,9.105697458905592,False,13.140967459780148,1.375344794007691,429.83973793898116,32.70990048902933
2025W19_2B_0474_1,60806.5275174625,638.4994605153256,37.23523544200084,16.88709866336756,0.0633166442763235,0.9369508517269683,0.0240276518700195,D1,2097152,1000000000000000000000,9.042963995771467,9.0800337264798,False,17.147721853669466,1.3608541942439039,868.9046688647508,50.67172632490611
2025W19_2B_0474_2,60806.529009719496,238.4979566048279,24.253140350606294,17.956288343855782,0.1104098036419004,3.228827262469493,0.0948934477905371,D4,2097152,1000000000000000000000,9.864679466125166,9.019465528544846,False,9.8336938292144,1.3731186600999254,327.4859946097914,33.30243958143995
2025W19_2B_0474_2,60806.529009719496,585.9729849278107,36.83839787077728,16.98030601442246,0.0682570414035642,0.9591224113463396,0.0245378417596885,D1,2097152,1000000000000000000000,9.776781701929467,9.86288912502214,False,15.906581686405104,1.3631307260473744,798.7577803887938,50.215552036014685
2025W19_2B_0474_3,60806.5305019765,612.767359482996,37.73539775917781,16.931760941230586,0.0668617329465066,0.9822355889495592,0.0256558409190098,D1,2097152,1000000000000000000000,9.006637807376155,9.639702034430996,False,16.23852922907012,1.3636566855510481,835.6043064464499,51.45812743623086
2025W19_2B_0474_3,60806.5305019765,292.8726106871538,24.76412190849771,17.73330310360263,0.0918054565499159,3.3166391308199725,0.0954519455895682,D4,2097152,1000000000000000000000,9.913307545239192,9.869733296102062,False,11.826488811891032,1.3758597437180327,402.95163508205854,34.07195842242778
2025W19_2B_0474_4,60806.531994233,542.4828159009764,36.21430105625231,17.064035035761172,0.0724800429327533,1.0053642661555708,0.0267745457348062,D1,2097152,1000000000000000000000,9.982177926108786,9.319295220183722,False,14.97979527641106,1.3664955427358612,741.3003499394831,49.48668097666337
